,vendor,platform,firmware,module,guid,contains unstuffed,contains patch,rsm addrs,device,version,release_date
0,AAEON,Client,lvfs/AAEON/7447a62dc9e4bc0075b42967ddd80a0f8a3cc65bf2708fe0f872a14131e0ad4f-PCFSAT07/PCFSA.bin,PiSmmCpuDxeSmm,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,True,False,"0xb9b4,0xad42,0xa9e4",PCM-CFS,0.0.7,2020-11-18
1,Acer,Client,lvfs/Acer/5c3f1c9ea8d8802c2a2254398a903541e9e2a984-Acer_Pikachu_WL_1.04/PKCWL104.fd,PiSmmCpuDxeSmm,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,True,False,"0x84e,0x63f9,0x57a4",Aspire A515-53/Aspire A515-53G,88.4.8452,2019-01-15
2,Compulab,IoT,lvfs/Compulab/e795741e8d4e83d313eac08ddf920b3fe0de6a5f4a15e925ade1afb4bc9e265f-bios/bios.bin,PiSmmCpuDxeSmm,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,True,False,"0x89fd,0x84f4",flt2,4638,2020-06-28
3,Compulab,IoT,lvfs/Compulab/60055ff6cd2b797234ea631ea88a41b66fc063776f28edc4e825533292e7bc48-bios/bios.bin,PiSmmCpuDxeSmm,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,True,False,"0x89fd,0x84f4",flt2,4602,2020-07-14
4,Dell,Client/Server,lvfs/Dell/288d799c68ba59063ff178ce24bafb1a5e131271-firmware_Wyse_3040_BIOS_1.2.1.wu/firmware.bin,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,True,False,"0x3fe5,0x3e11",Wyse 3040,0x10201,2017-05-24
5,Dell,Client/Server,lvfs/Dell/cd481ee3aab51ecd71b5e1ebc0162c547ba6daec-firmware_3040.wu/firmware.bin,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,True,False,"0x3fe5,0x3e11",Wyse 3040,0x10202,2017-09-06
6,Dell,Client/Server,lvfs/Dell/9cec060a0cc1df18cb3af4f434449bdad7da1b74-firmware_3040.wu/firmware.bin,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,True,False,"0x3e11,0x3fe5",Wyse 3040,0x10203,2017-11-07
7,Dell,Client/Server,lvfs/Dell/be460889480c8fd5728b1f98393cf687dd3af918-Wyse3040_1.2.4_firmware.wu/firmware.bin,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,True,False,"0x3e11,0x3fe5",Wyse 3040,0x10204,2018-01-18
8,Dell,Client/Server,lvfs/Dell/3674db1be151630d33842cb55cffe4cf1109c606-3040_1.2.5_firmware.wu/firmware.bin,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,True,False,"0x3e11,0x3fe5",Wyse 3040,0x10205,2018-08-20
9,Dell,Client/Server,lvfs/Dell/ad40ce5785714594fe286557f9e3a801cd958fd6d184c88fa29d2273f0cf7971-Signed_1152921504628139999/firmware.bin,PiSmmCpuDxeSmm,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,True,False,"0x4021,0x41f5",Edge Gateway 3000/3001/3002/3003,0x10101,2019-06-11
10,Dell,Client/Server,lvfs/Dell/dd914d285fe53d774d8c392d0e6f8dc0beade6482a80711a0cf146066bab1181-Signed_1152921504628325488/firmware.bin,PiSmmCpuDxeSmm,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,True,False,"0x6d96,0x6aa4",Wyse 5070 Thin Client,0x10402,2019-12-03
11,Dell,Client/Server,lvfs/Dell/170bcc2e7e07ed0a34b9e0344c3ae461be4d2d423005d1f6d43c04f15eac733e-Signed_1152921504628325549/firmware.bin,PiSmmCpuDxeSmm,A3FF0EF5-0C28-42F5-B544-8C7DE1E80014,True,False,"0x6a24,0x6d16",Wyse 5470 AIO,0x10301,2019-12-10
